mode,area,policy,mode_adaptive_semantic_count,mode_emergency_count,mode_fixed_count,mode_fixed_paper_like_count,mode_high_count,mode_low_count,mode_medium_count,mode_paper_like_count,mode_raw_count
nonsemantic,100,Stochastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7
nonsemantic,100,LinUCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4
nonsemantic,100,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2
nonsemantic,100,Greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4
nonsemantic,100,MCTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9
nonsemantic,200,Stochastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5
nonsemantic,200,LinUCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.4
nonsemantic,200,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.3
nonsemantic,200,Greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9
nonsemantic,200,MCTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.4
nonsemantic,300,Stochastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5
nonsemantic,300,LinUCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5
nonsemantic,300,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.3
nonsemantic,300,Greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.9
nonsemantic,300,MCTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
nonsemantic,400,Stochastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9
nonsemantic,400,LinUCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.7
nonsemantic,400,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.1
nonsemantic,400,Greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.4
nonsemantic,400,MCTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
nonsemantic,500,Stochastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.3
nonsemantic,500,LinUCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8
nonsemantic,500,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.3
nonsemantic,500,Greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9
nonsemantic,500,MCTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2
fixed_paper_like,100,Stochastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,19.9
fixed_paper_like,100,LinUCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.3,10.4
fixed_paper_like,100,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,15.0
fixed_paper_like,100,Greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.6,4.0
fixed_paper_like,100,MCTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.2,4.7
fixed_paper_like,200,Stochastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,35.6
fixed_paper_like,200,LinUCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,30.4
fixed_paper_like,200,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.3,33.4
fixed_paper_like,200,Greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.6,23.2
fixed_paper_like,200,MCTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.6,25.4
fixed_paper_like,300,Stochastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,55.3
fixed_paper_like,300,LinUCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.3,42.2
fixed_paper_like,300,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.3,42.8
fixed_paper_like,300,Greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.8,41.6
fixed_paper_like,300,MCTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.6,37.9
fixed_paper_like,400,Stochastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,60.0
fixed_paper_like,400,LinUCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.1,48.6
fixed_paper_like,400,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.9,58.6
fixed_paper_like,400,Greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.1,46.8
fixed_paper_like,400,MCTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.8,47.1
fixed_paper_like,500,Stochastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,62.5
fixed_paper_like,500,LinUCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.1,46.7
fixed_paper_like,500,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.4,52.8
fixed_paper_like,500,Greedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.1,41.4
fixed_paper_like,500,MCTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.9,43.6
adaptive_semantic,100,Stochastic,0.0,9.1,0.0,0.0,0.4,0.6,0.5,0.1,26.0
adaptive_semantic,100,LinUCB,0.0,95.2,0.0,0.0,1.3,25.3,8.2,1.1,31.1
adaptive_semantic,100,SA,0.0,32.1,0.0,0.0,0.1,3.4,1.7,0.5,22.5
adaptive_semantic,100,Greedy,0.0,62.7,0.0,0.0,4.5,35.0,24.6,10.0,75.7
adaptive_semantic,100,MCTS,0.0,76.1,0.0,0.0,6.1,35.7,23.8,8.1,49.0
adaptive_semantic,200,Stochastic,0.0,10.7,0.0,0.0,1.3,3.2,1.1,0.5,43.7
adaptive_semantic,200,LinUCB,0.0,55.8,0.0,0.0,1.6,35.9,17.3,4.2,40.0
adaptive_semantic,200,SA,0.0,30.6,0.0,0.0,1.0,14.5,5.0,1.5,37.9
adaptive_semantic,200,Greedy,0.0,32.1,0.0,0.0,11.9,30.1,32.6,21.5,80.0
adaptive_semantic,200,MCTS,0.0,47.0,0.0,0.0,8.9,40.0,31.7,14.6,49.4
adaptive_semantic,300,Stochastic,0.0,10.0,0.0,0.0,0.7,4.8,3.9,1.7,57.5
adaptive_semantic,300,LinUCB,0.0,37.4,0.0,0.0,3.4,31.1,19.2,7.6,56.8
adaptive_semantic,300,SA,0.0,25.7,0.0,0.0,1.8,16.2,8.3,2.4,48.8
adaptive_semantic,300,Greedy,0.0,25.5,0.0,0.0,17.8,32.5,35.6,30.8,69.5
adaptive_semantic,300,MCTS,0.0,37.3,0.0,0.0,8.6,33.7,30.9,12.2,60.9
adaptive_semantic,400,Stochastic,0.0,8.0,0.0,0.0,2.8,5.9,4.1,2.4,63.5
adaptive_semantic,400,LinUCB,0.0,35.7,0.0,0.0,4.7,30.7,16.9,7.5,55.7
adaptive_semantic,400,SA,0.0,21.1,0.0,0.0,3.1,18.6,12.6,4.3,58.0
adaptive_semantic,400,Greedy,0.0,20.5,0.0,0.0,18.0,23.0,34.5,34.6,72.9
adaptive_semantic,400,MCTS,0.0,27.9,0.0,0.0,11.0,30.1,28.3,16.2,62.9
adaptive_semantic,500,Stochastic,0.0,5.6,0.0,0.0,2.0,6.5,3.4,2.9,67.1
adaptive_semantic,500,LinUCB,0.0,33.1,0.0,0.0,4.3,26.0,19.5,6.9,55.7
adaptive_semantic,500,SA,0.0,19.2,0.0,0.0,2.0,16.3,13.4,4.3,51.9
adaptive_semantic,500,Greedy,0.0,17.6,0.0,0.0,19.9,24.2,36.1,35.6,69.8
adaptive_semantic,500,MCTS,0.0,27.2,0.0,0.0,8.7,30.0,28.8,14.7,64.9
