mode,area,policy,finished,flight_energy_per_req,nonflight_energy_per_req,avg_time,avg_travel,encodes,decodes,sinr_median_db
semantic,100,Stochastic,28.3,35722.91011032062,29.63676190721835,155.64180019593732,86.46184331199115,8.4,4.4,-20.072976221201053
semantic,100,LinUCB,67.7,14211.624694857246,11.560260309762196,62.31002463542168,72.22112712770908,57.3,15.8,-20.864295787890168
semantic,100,SA,40.4,23807.990754967257,19.70557376965344,103.9269567658894,85.50382306699706,25.4,11.4,-21.17827993576136
semantic,100,Greedy,127.6,7572.977096519271,6.2902968810518765,33.249681555575116,23.70568109399772,123.6,0.0,-19.141233824785406
semantic,100,MCTS,111.9,10039.386639121722,8.222239745879065,44.0720711155848,47.692278807849,107.2,19.8,-20.521947540874077
semantic,200,Stochastic,51.0,20072.081632713765,15.267067897551318,88.1666910731871,175.02147419106558,15.4,6.6,-16.434008062765958
semantic,200,LinUCB,123.4,7267.631956312478,4.815525989337469,32.43235381802058,141.95060515171787,93.0,25.8,-14.711143996226236
semantic,200,SA,78.7,14991.544769826296,11.276973084735335,65.91686395053158,160.41593004135092,45.3,19.8,-15.961431791816088
semantic,200,Greedy,170.8,3117.0372057175728,2.3631423821009476,14.10080186018477,23.985510975201215,147.6,0.0,-10.965208947771917
semantic,200,MCTS,157.0,4516.81453108515,3.1177253051987153,20.294738637751795,72.58493375188598,131.6,31.8,-12.329712016189147
semantic,300,Stochastic,75.0,15931.230241922813,10.982479453404341,70.289296449702,271.2891502315041,19.7,10.0,-13.896708742980977
semantic,300,LinUCB,127.5,6489.155645370391,3.682622846012792,29.525170013159812,199.21980115724097,85.3,24.3,-11.789838774804206
semantic,300,SA,90.1,12394.812349550662,8.371049120098103,54.85966197339426,253.23942038046798,47.3,23.3,-14.34034064440452
semantic,300,Greedy,187.4,2415.9990149354403,1.6423914666095158,11.184160545685858,29.348183398680895,145.8,0.0,-6.469414739878216
semantic,300,MCTS,158.5,4244.765686962359,2.599311611487008,19.32910707978931,100.87931134385856,120.6,30.0,-10.124393346068041
semantic,400,Stochastic,82.2,13486.251876120135,8.329402263859194,59.837782518284044,372.40301829024696,22.2,12.3,-12.468576193446054
semantic,400,LinUCB,128.7,7078.884986014382,3.8237245591690465,32.311286954460044,251.99619388957686,80.1,22.5,-11.419358667929993
semantic,400,SA,111.5,8978.655170194703,5.0071697828033175,40.13481080461321,304.07985458237283,52.9,22.4,-11.433936780942533
semantic,400,Greedy,194.9,2103.9298178506415,1.2652204204517692,10.093986576786737,37.8221606954462,148.1,0.0,-4.567544336189709
semantic,400,MCTS,160.9,4018.157205281379,2.214769501197212,18.52668473222746,121.09795968716585,113.8,33.5,-8.379398626974591
semantic,500,Stochastic,82.7,13585.186470173645,7.903179187878784,60.47286235098269,462.59371741432125,20.2,10.9,-11.535167074266486
semantic,500,LinUCB,125.8,7058.288070591641,3.394433691602315,32.704777352971114,327.9423201810994,79.1,23.2,-11.065104281316724
semantic,500,SA,102.2,9330.121255446156,4.833149651000771,42.03489799960196,401.5388354940977,49.4,23.3,-10.918109482846491
semantic,500,Greedy,188.5,2315.713181793513,1.4347232762067135,11.128106632115255,41.892989137042036,147.1,0.0,-4.409892462463295
semantic,500,MCTS,149.5,4523.918916445995,2.475111768253834,21.118428644293807,151.86345530001088,105.9,34.0,-8.488275176621878
nonsemantic,300,LinUCB,66.5,18569.152330748206,14.00805032915952,81.98233857194494,152.2099800934907,0.0,0.0,-14.041751948493305
nonsemantic,300,SA,68.3,17400.78026104427,12.301538241273267,76.56972866709069,219.64531411057865,0.0,0.0,-14.300514911177894
nonsemantic,300,Greedy,75.9,15033.23405872392,11.842548938727756,66.19405726887018,56.06432254150727,0.0,0.0,-12.8962160988854
nonsemantic,300,MCTS,77.0,14465.283680201177,11.275271205935416,63.760924661773444,59.61556587874774,0.0,0.0,-13.507133973251527
