epoch,train_loss,val_loss,val_pixel_accuracy,val_mean_iou,valid_classes,lr
1,1.5030665770173073,1.6941542066633701,0.6977815628051758,0.16756995022296906,19,0.0009941519617826904
2,1.4558857809752226,1.6260836981236935,0.6910192966461182,0.17253641784191132,19,0.0009767518452401978
3,1.41412609256804,1.711986418813467,0.6752651333808899,0.1614440679550171,19,0.0009482280989894746
4,1.372534891590476,1.753791183233261,0.7079659700393677,0.16490034759044647,19,0.0009092830723281
5,1.3474466586485505,1.6005645357072353,0.7104415893554688,0.1749458909034729,19,0.00086087572106361
6,1.314995113760233,1.6363885216414928,0.7452862858772278,0.19452615082263947,19,0.0008041979948389247
7,1.271958775818348,1.6043262481689453,0.7113755941390991,0.18446879088878632,19,0.0007406454873762847
8,1.2221217406913638,1.5801981948316097,0.7471835613250732,0.20526398718357086,19,0.0006717830723281
9,1.178813235834241,1.6514303386211395,0.7271378636360168,0.19453179836273193,19,0.0005993063708941097
10,1.1487887613475323,1.5691646970808506,0.7370989322662354,0.20928747951984406,19,0.000525
11,1.1210683658719063,1.5587623454630375,0.7457611560821533,0.21228188276290894,19,0.00045069362910589043
12,1.0848357388749719,1.5656989105045795,0.756037712097168,0.21354293823242188,19,0.0003782169276719
13,1.0513918232172728,1.5897172819823027,0.7543220520019531,0.21482199430465698,19,0.00030935451262371525
14,1.0301468456164002,1.5539286341518164,0.756596565246582,0.2177070528268814,19,0.0002458020051610753
15,1.0069133192300797,1.5562256816774607,0.7513102889060974,0.21911530196666718,19,0.00018912427893638992
16,0.9910671692341566,1.5586342625319958,0.7567136287689209,0.2222568541765213,19,0.0001407169276719
17,0.9714787639677525,1.5578396134078503,0.7576509118080139,0.2237364649772644,19,0.0001017719010105253
18,0.9661092618480325,1.5651920698583126,0.7581484913825989,0.22109559178352356,19,7.324815475980207e-05
19,0.9561609569936991,1.5750795397907495,0.7558972835540771,0.2218712717294693,19,5.584803821730962e-05
20,0.9454336287453771,1.5749559327960014,0.7583295702934265,0.22177711129188538,19,5e-05
