ground_truth,pred_road,pred_sidewalk,pred_building,pred_wall,pred_fence,pred_pole,pred_traffic_light,pred_traffic_sign,pred_vegetation,pred_terrain,pred_sky,pred_person,pred_rider,pred_car,pred_truck,pred_bus,pred_train,pred_motorcycle,pred_bicycle
road,5078348,207120,1538,1718,2647,475,0,6,529,14903,94,22662,0,44848,85,341,3,0,6873
sidewalk,115851,562303,8833,10368,11616,970,0,0,557,21103,0,14032,0,12287,61,27,2,0,12741
building,6938,28678,2552750,12177,50666,8181,0,8554,229266,1739,70155,83058,0,43623,11946,4687,120,0,6548
wall,1290,20546,17183,25559,24729,573,0,26,3835,3686,273,2444,0,2641,41,40,0,0,1619
fence,523,15548,33924,6675,28410,1151,0,362,7861,2719,3,9607,0,3994,256,750,0,0,5265
pole,1265,21961,72832,2501,16176,4692,0,2545,45393,5180,5554,16757,0,7113,231,380,4,0,7993
traffic light,0,0,11809,0,82,515,0,1400,12804,0,1187,266,0,204,19,34,0,0,0
traffic sign,982,3667,49041,139,1395,892,0,4477,20644,153,1194,7825,0,2172,113,223,7,0,1864
vegetation,1059,4894,169521,4041,68605,8695,0,5525,2063922,55599,37782,14521,0,20019,631,3716,61,0,5442
terrain,2667,15196,325,1335,6988,119,0,0,5631,82280,0,733,0,1933,0,16,0,0,1347
sky,0,0,14065,0,125,54,0,600,11932,0,446188,33,0,30,42,1,3,0,0
person,2712,6906,20055,499,10316,1531,0,23,4117,463,37,117817,0,10153,71,274,3,0,10906
rider,263,416,3098,19,1285,757,0,49,1500,67,2,18198,24,2854,0,20,0,0,2216
car,17338,6059,31456,356,11279,1316,0,35,13372,3664,5,25864,0,788314,13068,5759,1,0,11890
truck,239,111,10247,0,220,76,0,0,2261,48,298,976,0,11821,13656,3062,6,0,11
bus,226,478,11767,0,1079,363,0,50,4908,17,8,4114,0,11358,7000,14069,15,0,192
train,95,84,5584,0,687,79,0,0,1467,22,177,1662,0,5194,25,1012,0,0,43
motorcycle,200,240,529,6,328,17,0,0,105,9,0,3906,0,3119,0,11,0,0,2898
bicycle,2671,10921,8215,596,9622,304,0,0,1267,2250,0,28123,20,6688,0,1,0,0,30607
