train_id,class_name,iou
0,road,0.9172473123406826
1,sidewalk,0.5049525133443968
2,building,0.7112491460273694
3,wall,0.17637235620881206
4,fence,0.08483306608379393
5,pole,0.01982716727587737
6,traffic light,0.0
7,traffic sign,0.039284680115476076
8,vegetation,0.728919343297962
9,terrain,0.3574407451171196
10,sky,0.7564534231200898
11,person,0.26736243487101286
12,rider,0.0007795244900610628
13,car,0.7039605224735607
14,truck,0.17822790096709779
15,bus,0.18512329271822942
16,train,0.0
17,motorcycle,0.0
18,bicycle,0.1708618735799657
